series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Retail,SARIMA,"(0, 0, 2)","(1, 0, 1, 11)",891.2328580555558,898.2388449638665,9.338886935318628,8.635327934100415,74.08499062636625
Retail,SARIMA,"(0, 0, 2)","(1, 1, 1, 11)",83.99075031199526,88.71294520782746,9.856545113414983,9.404869398831393,84.97068272133913
Retail,SARIMA,"(0, 0, 2)","(1, 0, 0, 11)",109.84203059964082,115.82806084550674,11.721114631139912,10.650899509002025,87.40577616293325
Retail,SARIMA,"(0, 0, 1)","(1, 1, 1, 11)",98.72082550956249,102.70375460377845,10.436857604329235,9.943037773511499,88.98062910523319
Retail,SARIMA,"(0, 0, 1)","(1, 0, 0, 11)",130.0121805045541,134.50170318895354,12.506130764690173,11.264159234185534,89.73409583711333
Retail,SARIMA,"(1, 0, 0)","(1, 0, 0, 11)",84.7211322994865,89.11834000788568,10.708420491508734,10.20921973896135,92.33505939256936
Retail,SARIMA,"(0, 0, 1)","(0, 0, 1, 11)",1302.2547879961446,1306.5567496096,13.346029330372788,11.936941783542112,93.1978778256653
Retail,SARIMA,"(1, 0, 2)","(1, 0, 0, 11)",87.26312032954748,94.59179984354611,10.83465475513581,10.32616077731867,93.3789986749611
Retail,SARIMA,"(0, 1, 0)","(0, 1, 1, 11)",69.91537506303962,71.9068396101476,9.16212711848886,9.092423028185065,93.49251604567819
Retail,SARIMA,"(0, 1, 2)","(0, 1, 1, 11)",68.51729713936516,72.0787841709498,9.225073227741595,9.160118369595844,94.49192117330666
Retail,SARIMA,"(0, 1, 1)","(0, 1, 1, 11)",68.95895904369901,71.79227598119833,9.297080115188544,9.228340466804594,94.98229566691509
Retail,SARIMA,"(2, 1, 0)","(0, 1, 1, 11)",73.36811549610694,77.3510445903229,9.30059974707816,9.235940060609273,95.34453214904907
Retail,SARIMA,"(1, 1, 0)","(0, 1, 1, 11)",71.21701058317566,74.20420740383764,9.332681040633492,9.264457025935787,95.39830693163505
Retail,SARIMA,"(0, 0, 0)","(1, 0, 0, 11)",152.74057210214798,155.73358722508095,13.034687763556654,11.81772203825895,96.01869884442773
Retail,SARIMA,"(1, 0, 1)","(1, 0, 0, 11)",85.89524567331208,91.75818928451098,11.117132679746545,10.621535929605743,96.5313375746971
Retail,SARIMA,"(0, 1, 0)","(1, 0, 0, 11)",82.89779569662952,85.82926750222897,11.118256368580631,10.62445300953429,96.5953111316531
Retail,SARIMA,"(2, 0, 0)","(1, 0, 0, 11)",83.80090952214552,89.5368583400861,11.171221236126351,10.664379927290122,96.75001921093002
Retail,SARIMA,"(0, 1, 2)","(1, 0, 0, 11)",85.41240940566388,91.27535301686278,11.253791846755064,10.750429360908875,97.7156691197073
Retail,SARIMA,"(0, 1, 1)","(1, 0, 0, 11)",83.91288258340512,88.3100902918043,11.260302865174783,10.766631090319299,98.02879626283496
Retail,SARIMA,"(1, 1, 0)","(1, 0, 0, 11)",81.82332873529,86.12529034874544,11.323524376930603,10.819866263804604,98.37779159610596
Retail,SARIMA,"(1, 1, 0)","(1, 0, 1, 11)",1126.0369012548747,1131.7728500728153,10.580080024383022,10.30093493559619,98.37823537401319
Retail,SARIMA,"(0, 0, 2)","(1, 1, 0, 11)",94.54773272644076,98.91190253987402,12.45931672885259,11.621726614965997,98.38726348865937
Retail,SARIMA,"(0, 1, 1)","(1, 0, 1, 11)",991.9577572904964,997.562546817145,10.590245424318326,10.311043728463973,98.47474093088057
Retail,SARIMA,"(1, 1, 1)","(0, 1, 1, 11)",68.7334647424036,72.51122065906935,9.586133842029868,9.528276276890002,98.55251596066982
Retail,SARIMA,"(2, 1, 0)","(1, 0, 0, 11)",81.1179961228477,86.72278564949632,11.388132154069353,10.86593251435435,98.5540693666892
Retail,SARIMA,"(1, 1, 1)","(1, 0, 1, 11)",1194.595917168266,1201.6019040765768,10.591112074677053,10.3141083348054,98.58802414467041
Retail,SARIMA,"(0, 1, 0)","(1, 0, 1, 11)",1159.0818156545354,1163.3837772679908,10.664615845742263,10.38741327860069,99.314033290196
Retail,SARIMA,"(2, 1, 0)","(1, 0, 1, 11)",896.6460662535571,903.6520531618679,10.651454197831987,10.378829267562967,99.42475440835399
Retail,SARIMA,"(0, 1, 2)","(1, 0, 1, 11)",1109.1921680366693,1116.0286471866016,10.671259575512298,10.397582716747785,99.58176664749924
Retail,SARIMA,"(0, 0, 0)","(0, 0, 1, 11)",1533.2249165285614,1536.1563883341607,13.387307421584039,12.181818181818151,99.99999999999976
Retail,SARIMA,"(0, 0, 0)","(0, 0, 0, 11)",298.284152696335,300.04535281202857,13.387307421584074,12.181818181818182,100.0
Retail,SARIMA,"(0, 1, 1)","(1, 1, 1, 11)",70.14255766542675,73.92031358209252,9.903358907557296,9.820782124046456,100.1707790047693
Retail,SARIMA,"(0, 0, 1)","(1, 1, 0, 11)",106.26321290521815,109.5363402652931,12.83437171462764,11.95109622286323,100.28086730742898
Retail,SARIMA,"(1, 1, 0)","(1, 1, 1, 11)",72.4114607695204,76.39438986373636,9.926415446205395,9.842200065720158,100.32569387671883
Retail,SARIMA,"(0, 1, 0)","(1, 1, 1, 11)",71.18608740636091,74.17328422702289,9.88936689740032,9.820124397274254,100.87296197153468
Retail,SARIMA,"(0, 0, 0)","(1, 1, 1, 11)",114.12713416789487,117.26070148106514,11.382081767879736,10.958338420490911,101.10227186198885
Retail,SARIMA,"(2, 0, 1)","(1, 0, 0, 11)",80.3098168240743,87.47975284650003,11.700662367051276,11.146345909457184,101.20205595039253
Retail,SARIMA,"(0, 1, 1)","(1, 1, 0, 11)",74.01057860071293,77.14414591388321,10.168571458272904,10.071004594081232,101.80032183829262
Retail,SARIMA,"(1, 1, 0)","(1, 1, 0, 11)",71.53521570063307,74.52241252129505,10.211482178743752,10.108460765463992,101.94330627657666
Retail,SARIMA,"(2, 1, 1)","(1, 0, 0, 11)",77.3095121035154,84.31549901182618,11.853334059611823,11.2727273361409,101.98956184454701
Retail,SARIMA,"(0, 0, 1)","(0, 0, 0, 11)",251.37254157651904,254.84788081308577,13.409570181450531,12.25621857689847,102.06667764111914
Retail,SARIMA,"(1, 1, 1)","(1, 0, 0, 11)",78.32072668547879,84.05667550341937,11.807566052905242,11.251435983966743,102.21997072900699
Retail,SARIMA,"(0, 1, 2)","(1, 1, 0, 11)",75.98403051265832,80.16212026355201,10.139875930632565,10.05418081871374,102.22815341490856
Retail,SARIMA,"(1, 1, 2)","(1, 0, 0, 11)",79.378242903587,86.54817892601272,11.853658070344101,11.279529439051883,102.249840878137
Retail,SARIMA,"(0, 1, 0)","(1, 1, 0, 11)",72.52805855115542,74.61710342660227,9.94216616283299,9.893197071120928,102.70489809594396
Retail,SARIMA,"(2, 1, 0)","(1, 1, 0, 11)",71.05123259537663,74.8289885120424,10.210625637375152,10.123671734453517,102.9244007085895
Retail,SARIMA,"(0, 0, 2)","(0, 0, 0, 11)",224.48059690204008,229.621313102153,13.45963915111459,12.252843309695335,104.29968592203325
Retail,SARIMA,"(1, 0, 0)","(1, 0, 1, 11)",1316.4626081399042,1322.3255517511031,13.078235669983787,12.18283100599977,104.81789525077684
Retail,SARIMA,"(1, 1, 1)","(1, 1, 0, 11)",72.05992319583355,76.04285229004951,10.653846599453487,10.519076881573385,104.96855984946944
Retail,SARIMA,"(0, 0, 2)","(0, 0, 1, 11)",966.8881992884644,972.492988815113,13.487784967617875,12.349017081157688,106.42194602322877
Retail,SARIMA,"(2, 0, 1)","(1, 0, 1, 11)",1101.4054810097489,1110.0094042366597,13.270080985141375,12.364143139991194,106.45817158190152
Retail,SARIMA,"(2, 0, 0)","(1, 0, 1, 11)",1246.1748780413536,1253.3448140637793,13.289108652910516,12.380118104518912,106.55928915502011
Retail,SARIMA,"(1, 0, 1)","(1, 0, 1, 11)",875.5133374014711,882.6832734238968,13.293347131326346,12.383942377146964,106.5868264530466
